Your Rank,Latitude,Longitude
4,33.8654013091475,-84.4033862222111
4,33.8757277,-84.4033862222111
5,33.8860540908525,-84.4033862222111
5,33.8963804817049,-84.4033862222111
3,33.9067068725574,-84.4033862222111
5,33.9170332634099,-84.4033862222111
5,33.9273596542623,-84.4033862222111
10,33.9376860451148,-84.4033862222111
16,33.9480124359672,-84.4033862222111
20+,33.8034429640328,-84.3909485111056
20+,33.8137693548852,-84.3909485111056
10,33.8240957457377,-84.3909485111056
12,33.8344221365901,-84.3909485111056
12,33.8447485274426,-84.3909485111056
7,33.8550749182951,-84.3909485111056
5,33.8654013091475,-84.3909485111056
2,33.8757277,-84.3909485111056
4,33.8860540908525,-84.3909485111056
5,33.8963804817049,-84.3909485111056
4,33.9067068725574,-84.3909485111056
5,33.9170332634099,-84.3909485111056
6,33.9273596542623,-84.3909485111056
10,33.9376860451148,-84.3909485111056
15,33.9480124359672,-84.3909485111056
20+,33.8034429640328,-84.3785108
20+,33.8137693548852,-84.3785108
12,33.8240957457377,-84.3785108
12,33.8344221365901,-84.3785108
14,33.8447485274426,-84.3785108
10,33.8550749182951,-84.3785108
3,33.8654013091475,-84.3785108
1,33.8757277,-84.3785108
2,33.8860540908525,-84.3785108
5,33.8963804817049,-84.3785108
5,33.9067068725574,-84.3785108
3,33.9170332634099,-84.3785108
7,33.9273596542623,-84.3785108
12,33.9376860451148,-84.3785108
15,33.9480124359672,-84.3785108
20+,33.8034429640328,-84.3660730888944
20+,33.8137693548852,-84.3660730888944
12,33.8240957457377,-84.3660730888944
13,33.8344221365901,-84.3660730888944
14,33.8447485274426,-84.3660730888944
11,33.8550749182951,-84.3660730888944
6,33.8654013091475,-84.3660730888944
3,33.8757277,-84.3660730888944
2,33.8860540908525,-84.3660730888944
5,33.8963804817049,-84.3660730888944
3,33.9067068725574,-84.3660730888944
7,33.9170332634099,-84.3660730888944
7,33.9273596542623,-84.3660730888944
11,33.9376860451148,-84.3660730888944
16,33.9480124359672,-84.3660730888944
20+,33.8034429640328,-84.3536353777889
20+,33.8137693548852,-84.3536353777889
11,33.8240957457377,-84.3536353777889
12,33.8344221365901,-84.3536353777889
14,33.8447485274426,-84.3536353777889
12,33.8550749182951,-84.3536353777889
6,33.8654013091475,-84.3536353777889
5,33.8757277,-84.3536353777889
4,33.8860540908525,-84.3536353777889
6,33.8963804817049,-84.3536353777889
6,33.9067068725574,-84.3536353777889
8,33.9170332634099,-84.3536353777889
8,33.9273596542623,-84.3536353777889
6,33.9376860451148,-84.3536353777889
14,33.9480124359672,-84.3536353777889
20+,33.8034429640328,-84.3411976666833
20+,33.8137693548852,-84.3411976666833
12,33.8240957457377,-84.3411976666833
13,33.8344221365901,-84.3411976666833
13,33.8447485274426,-84.3411976666833
12,33.8550749182951,-84.3411976666833
9,33.8654013091475,-84.3411976666833
8,33.8757277,-84.3411976666833
6,33.8860540908525,-84.3411976666833
3,33.8963804817049,-84.3411976666833
4,33.9067068725574,-84.3411976666833
2,33.9170332634099,-84.3411976666833
8,33.9273596542623,-84.3411976666833
11,33.9376860451148,-84.3411976666833
13,33.9480124359672,-84.3411976666833
20+,33.8034429640328,-84.3287599555777
20+,33.8137693548852,-84.3287599555777
12,33.8240957457377,-84.3287599555777
12,33.8344221365901,-84.3287599555777
