City,Sample,rank,geodist,Latitude,Longitude
Atlanta,1,5,5.5,33.8674030817049,-84.405819364129
Atlanta,1,5,5.5,33.8777294725574,-84.405819364129
Atlanta,1,6,5.5,33.8880558634099,-84.405819364129
Atlanta,1,5,5.6,33.8983822542623,-84.405819364129
Atlanta,1,11,5.6,33.9087086451148,-84.405819364129
Atlanta,1,14,5.6,33.9190350359672,-84.405819364129
Atlanta,1,21,4.2,33.7744655640328,-84.3933858730968
Atlanta,1,21,4.2,33.7847919548852,-84.3933858730968
Atlanta,1,12,4.2,33.7951183457377,-84.3933858730968
Atlanta,1,7,4.2,33.8054447365901,-84.3933858730968
Atlanta,1,8,4.2,33.8157711274426,-84.3933858730968
Atlanta,1,8,4.2,33.8260975182951,-84.3933858730968
Atlanta,1,7,4.1,33.8364239091475,-84.3933858730968
Atlanta,1,6,4.1,33.8467503,-84.3933858730968
Atlanta,1,6,4.1,33.8570766908525,-84.3933858730968
Atlanta,1,6,4.2,33.8674030817049,-84.3933858730968
Atlanta,1,5,4.2,33.8777294725574,-84.3933858730968
Atlanta,1,6,4.2,33.8880558634099,-84.3933858730968
Atlanta,1,6,4.2,33.8983822542623,-84.3933858730968
Atlanta,1,11,4.2,33.9087086451148,-84.3933858730968
Atlanta,1,17,4.2,33.9190350359672,-84.3933858730968
Atlanta,1,21,2.9,33.7744655640328,-84.3809523820645
Atlanta,1,21,2.8,33.7847919548852,-84.3809523820645
Atlanta,1,10,2.8,33.7951183457377,-84.3809523820645
Atlanta,1,7,2.8,33.8054447365901,-84.3809523820645
Atlanta,1,8,2.8,33.8157711274426,-84.3809523820645
Atlanta,1,7,2.8,33.8260975182951,-84.3809523820645
Atlanta,1,6,2.8,33.8364239091475,-84.3809523820645
Atlanta,1,5,2.8,33.8467503,-84.3809523820645
Atlanta,1,5,2.8,33.8570766908525,-84.3809523820645
Atlanta,1,5,2.8,33.8674030817049,-84.3809523820645
Atlanta,1,5,2.8,33.8777294725574,-84.3809523820645
Atlanta,1,6,2.8,33.8880558634099,-84.3809523820645
Atlanta,1,6,2.8,33.8983822542623,-84.3809523820645
Atlanta,1,10,2.8,33.9087086451148,-84.3809523820645
Atlanta,1,16,2.9,33.9190350359672,-84.3809523820645
Atlanta,1,21,1.6,33.7744655640328,-84.3685188910323
Atlanta,1,21,1.5,33.7847919548852,-84.3685188910323
Atlanta,1,8,1.5,33.7951183457377,-84.3685188910323
Atlanta,1,9,1.5,33.8054447365901,-84.3685188910323
Atlanta,1,10,1.4,33.8157711274426,-84.3685188910323
Atlanta,1,7,1.4,33.8260975182951,-84.3685188910323
Atlanta,1,21,1.4,33.8364239091475,-84.3685188910323
Atlanta,1,5,1.4,33.8467503,-84.3685188910323
Atlanta,1,5,1.4,33.8570766908525,-84.3685188910323
Atlanta,1,3,1.4,33.8674030817049,-84.3685188910323
Atlanta,1,5,1.4,33.8777294725574,-84.3685188910323
Atlanta,1,6,1.5,33.8880558634099,-84.3685188910323
Atlanta,1,6,1.5,33.8983822542623,-84.3685188910323
Atlanta,1,10,1.5,33.9087086451148,-84.3685188910323
Atlanta,1,17,1.6,33.9190350359672,-84.3685188910323
Atlanta,1,21,0.8,33.7744655640328,-84.3560854
Atlanta,1,21,0.7,33.7847919548852,-84.3560854
Atlanta,1,8,0.6,33.7951183457377,-84.3560854
Atlanta,1,9,0.5,33.8054447365901,-84.3560854
Atlanta,1,10,0.3,33.8157711274426,-84.3560854
Atlanta,1,8,0.2,33.8260975182951,-84.3560854
Atlanta,1,5,0.1,33.8364239091475,-84.3560854
Atlanta,1,1,0,33.8467503,-84.3560854
Atlanta,1,3,0.1,33.8570766908525,-84.3560854
Atlanta,1,3,0.2,33.8674030817049,-84.3560854
Atlanta,1,4,0.3,33.8777294725574,-84.3560854
Atlanta,1,6,0.5,33.8880558634099,-84.3560854
Atlanta,1,21,0.6,33.8983822542623,-84.3560854
Atlanta,1,12,0.7,33.9087086451148,-84.3560854
Atlanta,1,17,0.8,33.9190350359672,-84.3560854
Atlanta,1,21,1.6,33.7744655640328,-84.3436519089678
Atlanta,1,20,1.5,33.7847919548852,-84.3436519089678
Atlanta,1,8,1.5,33.7951183457377,-84.3436519089678
Atlanta,1,9,1.5,33.8054447365901,-84.3436519089678
Atlanta,1,9,1.4,33.8157711274426,-84.3436519089678
Atlanta,1,8,1.4,33.8260975182951,-84.3436519089678
Atlanta,1,5,1.4,33.8364239091475,-84.3436519089678
Atlanta,1,3,1.4,33.8467503,-84.3436519089678
Atlanta,1,4,1.4,33.8570766908525,-84.3436519089678
Atlanta,1,3,1.4,33.8674030817049,-84.3436519089678
Atlanta,1,4,1.4,33.8777294725574,-84.3436519089678
Atlanta,1,4,1.5,33.8880558634099,-84.3436519089678
Atlanta,1,4,1.5,33.8983822542623,-84.3436519089678
Atlanta,1,10,1.5,33.9087086451148,-84.3436519089678
Atlanta,1,13,1.6,33.9190350359672,-84.3436519089678
Atlanta,1,21,2.9,33.7744655640328,-84.3312184179355
Atlanta,1,19,2.8,33.7847919548852,-84.3312184179355
Atlanta,1,8,2.8,33.7951183457377,-84.3312184179355
Atlanta,1,7,2.8,33.8054447365901,-84.3312184179355
Atlanta,1,7,2.8,33.8157711274426,-84.3312184179355
Atlanta,1,7,2.8,33.8260975182951,-84.3312184179355
Atlanta,1,4,2.8,33.8364239091475,-84.3312184179355
Atlanta,1,5,2.8,33.8467503,-84.3312184179355
Atlanta,1,5,2.8,33.8570766908525,-84.3312184179355
Atlanta,1,4,2.8,33.8674030817049,-84.3312184179355
Atlanta,1,4,2.8,33.8777294725574,-84.3312184179355
Atlanta,1,3,2.8,33.8880558634099,-84.3312184179355
Atlanta,1,4,2.8,33.8983822542623,-84.3312184179355
Atlanta,1,21,2.8,33.9087086451148,-84.3312184179355
Atlanta,1,13,2.9,33.9190350359672,-84.3312184179355
Atlanta,1,21,4.2,33.7744655640328,-84.3187849269032
Atlanta,1,19,4.2,33.7847919548852,-84.3187849269032
Atlanta,1,9,4.2,33.7951183457377,-84.3187849269032
Atlanta,1,7,4.2,33.8054447365901,-84.3187849269032
Atlanta,1,7,4.2,33.8157711274426,-84.3187849269032
Atlanta,1,7,4.2,33.8260975182951,-84.3187849269032
Atlanta,1,7,4.1,33.8364239091475,-84.3187849269032
Atlanta,1,6,4.1,33.8467503,-84.3187849269032
Atlanta,1,19,4.1,33.8570766908525,-84.3187849269032
Atlanta,1,5,4.2,33.8674030817049,-84.3187849269032
Atlanta,1,4,4.2,33.8777294725574,-84.3187849269032
Atlanta,1,3,4.2,33.8880558634099,-84.3187849269032
Atlanta,1,4,4.2,33.8983822542623,-84.3187849269032
Atlanta,1,9,4.2,33.9087086451148,-84.3187849269032
Atlanta,1,12,4.2,33.9190350359672,-84.3187849269032
Atlanta,1,21,5.6,33.7744655640328,-84.306351435871
Atlanta,1,21,5.6,33.7847919548852,-84.306351435871
Atlanta,1,8,5.6,33.7951183457377,-84.306351435871
Atlanta,1,7,5.5,33.8054447365901,-84.306351435871
Atlanta,1,7,5.5,33.8157711274426,-84.306351435871
Atlanta,1,7,5.5,33.8260975182951,-84.306351435871
Atlanta,1,7,5.5,33.8364239091475,-84.306351435871
Atlanta,1,6,5.5,33.8467503,-84.306351435871
Atlanta,1,5,5.5,33.8570766908525,-84.306351435871
Atlanta,1,4,5.5,33.8674030817049,-84.306351435871
Atlanta,1,4,5.5,33.8777294725574,-84.306351435871
Atlanta,1,3,5.5,33.8880558634099,-84.306351435871
Atlanta,1,3,5.6,33.8983822542623,-84.306351435871
Atlanta,1,10,5.6,33.9087086451148,-84.306351435871
Atlanta,1,12,5.6,33.9190350359672,-84.306351435871
Atlanta,1,21,7,33.7744655640328,-84.2939179448387
Atlanta,1,16,6.9,33.7847919548852,-84.2939179448387
Atlanta,1,8,6.9,33.7951183457377,-84.2939179448387
Atlanta,1,7,6.9,33.8054447365901,-84.2939179448387
