City,Sample,drop,geodist,rank,Latitude,Longitude
Atlanta,01,9,1.539,10,33.9087086451148,-84.3436519089678
Atlanta,01,12,1.592,13,33.9190350359672,-84.3436519089678
Atlanta,01,20,2.874,21,33.7744655640328,-84.3312184179355
Atlanta,01,18,2.845,19,33.7847919548852,-84.3312184179355
Atlanta,01,7,2.821,8,33.7951183457377,-84.3312184179355
Atlanta,01,6,2.8,7,33.8054447365901,-84.3312184179355
Atlanta,01,6,2.784,7,33.8157711274426,-84.3312184179355
Atlanta,01,6,2.773,7,33.8260975182951,-84.3312184179355
Atlanta,01,3,2.766,4,33.8364239091475,-84.3312184179355
Atlanta,01,4,2.764,5,33.8467503,-84.3312184179355
Atlanta,01,4,2.766,5,33.8570766908525,-84.3312184179355
Atlanta,01,3,2.773,4,33.8674030817049,-84.3312184179355
Atlanta,01,3,2.784,4,33.8777294725574,-84.3312184179355
Atlanta,01,2,2.8,3,33.8880558634099,-84.3312184179355
Atlanta,01,3,2.821,4,33.8983822542623,-84.3312184179355
Atlanta,01,20,2.845,21,33.9087086451148,-84.3312184179355
Atlanta,01,12,2.874,13,33.9190350359672,-84.3312184179355
Atlanta,01,20,4.22,21,33.7744655640328,-84.3187849269032
Atlanta,01,18,4.2,19,33.7847919548852,-84.3187849269032
Atlanta,01,8,4.184,9,33.7951183457377,-84.3187849269032
Atlanta,01,6,4.17,7,33.8054447365901,-84.3187849269032
Atlanta,01,6,4.159,7,33.8157711274426,-84.3187849269032
Atlanta,01,6,4.151,7,33.8260975182951,-84.3187849269032
Atlanta,01,6,4.147,7,33.8364239091475,-84.3187849269032
Atlanta,01,5,4.145,6,33.8467503,-84.3187849269032
Atlanta,01,18,4.147,19,33.8570766908525,-84.3187849269032
Atlanta,01,4,4.151,5,33.8674030817049,-84.3187849269032
Atlanta,01,3,4.159,4,33.8777294725574,-84.3187849269032
Atlanta,01,2,4.17,3,33.8880558634099,-84.3187849269032
Atlanta,01,3,4.184,4,33.8983822542623,-84.3187849269032
Atlanta,01,8,4.2,9,33.9087086451148,-84.3187849269032
Atlanta,01,11,4.22,12,33.9190350359672,-84.3187849269032
Atlanta,01,20,5.583,21,33.7744655640328,-84.306351435871
Atlanta,01,20,5.568,21,33.7847919548852,-84.306351435871
Atlanta,01,7,5.556,8,33.7951183457377,-84.306351435871
Atlanta,01,6,5.545,7,33.8054447365901,-84.306351435871
Atlanta,01,6,5.537,7,33.8157711274426,-84.306351435871
Atlanta,01,6,5.532,7,33.8260975182951,-84.306351435871
Atlanta,01,6,5.528,7,33.8364239091475,-84.306351435871
Atlanta,01,5,5.527,6,33.8467503,-84.306351435871
Atlanta,01,4,5.528,5,33.8570766908525,-84.306351435871
Atlanta,01,3,5.532,4,33.8674030817049,-84.306351435871
Atlanta,01,3,5.537,4,33.8777294725574,-84.306351435871
Atlanta,01,2,5.545,3,33.8880558634099,-84.306351435871
Atlanta,01,2,5.556,3,33.8983822542623,-84.306351435871
Atlanta,01,9,5.568,10,33.9087086451148,-84.306351435871
